Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
,,,,,
04-01-2016,23.73095131,23.73545744,22.97633667,23.11374432,270597600
05-01-2016,23.13626671,23.84357723,23.06869029,23.82105176,223164000
06-01-2016,22.68349075,23.0596731,22.49652783,22.65195476,273829600
07-01-2016,21.72614861,22.55509869,21.7216442,22.22847505,324377600
08-01-2016,21.84103584,22.32534134,21.79598489,22.19919729,283192000
11-01-2016,22.1946888,22.31407536,21.92663101,22.29380295,198957600
12-01-2016,22.51680565,22.68124486,22.26451589,22.64970886,196616800
13-01-2016,21.93789291,22.79387464,21.9176205,22.59789942,249758400
14-01-2016,22.41769409,22.63394346,21.56621842,22.06629187,252680400
15-01-2016,21.87932587,22.00997602,21.48061965,21.6698357,319335600
19-01-2016,21.77344894,22.22171209,21.51214872,22.16765062,212350800
20-01-2016,21.80273819,22.11809997,21.04361755,21.42205134,289337600
21-01-2016,21.69236565,22.0482723,21.38601435,21.86356064,208646000
22-01-2016,22.84568024,22.85469077,22.15864394,22.21720982,263202000
25-01-2016,22.39967728,22.87046612,22.34786713,22.86821305,207178000
26-01-2016,22.52356148,22.72404109,22.09106625,22.51004654,300308000
27-01-2016,21.04361916,21.76669772,21.02559809,21.63379622,533478800
28-01-2016,21.1945343,21.29139536,20.81159621,21.1269579,222715200
29-01-2016,21.92663193,21.92663193,21.2531104,21.35222456,257666000
01-02-2016,21.72164345,21.78471545,21.48962783,21.73065398,163774000
02-02-2016,21.28238869,21.63379082,21.23733603,21.49413016,149428800
03-02-2016,21.70362091,21.81399692,21.1922857,21.39952277,183857200
04-02-2016,21.87801743,22.04334896,21.5586808,21.71042233,185886800
05-02-2016,21.29369545,21.95048923,21.2189582,21.85989669,185672400
08-02-2016,21.51791,21.67418035,21.0717432,21.09212561,216085600
09-02-2016,21.51338005,21.72853754,21.2733113,21.35484441,177324800
10-02-2016,21.35031509,21.82139493,21.31181383,21.72400825,169374400
11-02-2016,21.2212162,21.45222721,20.96982278,21.24160034,200298800
12-02-2016,21.28690147,21.40240701,21.06495155,21.33219861,161405600
16-02-2016,21.88707352,21.93463421,21.42731842,21.52017452,196231600
17-02-2016,22.22226143,22.24264384,21.77609468,21.89386375,179452800
18-02-2016,21.80100632,22.39664922,21.76250333,22.3853245,156084000
19-02-2016,21.75118256,21.91424876,21.69682773,21.74212313,141496800
22-02-2016,21.94142532,21.9459559,21.7240043,21.81233154,137123200
23-02-2016,21.44543648,21.85536558,21.41372935,21.83271788,127770400
24-02-2016,21.76477432,21.82818858,21.13515885,21.2846368,145022800
25-02-2016,21.91425133,21.91425133,21.57226533,21.7534504,110330800
26-02-2016,21.94822121,22.19961292,21.87348224,22.01389902,115964400
29-02-2016,21.89839363,22.24717371,21.88933421,21.93689489,140865200
01-03-2016,22.76807594,22.82243076,22.06372171,22.11581297,201628400
02-03-2016,22.81790352,22.84961064,22.5665101,22.7635487,132678400
03-03-2016,22.98776817,23.03532887,22.74996298,22.77940655,147822800
04-03-2016,23.32975578,23.49735086,22.95832792,23.18480841,184220400
07-03-2016,23.07156944,23.28899052,22.86547136,23.18933854,143315600
08-03-2016,22.88132477,23.04665629,22.73864267,22.82470464,126247600
09-03-2016,22.9017067,23.00588751,22.70919691,22.94473681,108806800
10-03-2016,22.91302681,23.15536082,22.68201751,22.96738336,134054400
11-03-2016,23.15988731,23.16441616,22.98776172,23.15535674,109632800
14-03-2016,23.21877289,23.30710185,23.05117785,23.08062142,100304400
15-03-2016,23.68533134,23.8212193,23.51999982,23.54491281,160270800
16-03-2016,24.00013161,24.07713412,23.68758751,23.69211808,153214000
17-03-2016,23.96163177,24.11337326,23.7713873,23.8982158,137682800
18-03-2016,23.98880959,24.12016867,23.82347982,24.08393096,176820800
21-03-2016,23.98653984,24.38061525,23.81214897,23.99106869,142010800
22-03-2016,24.16999626,24.29909006,23.82801026,23.83706969,129777600
23-03-2016,24.03636742,24.24925957,23.98427789,24.11563695,102814000
24-03-2016,23.93219185,24.06355094,23.75553735,23.88689644,104532000
28-03-2016,23.82348633,24.04996685,23.79404275,24.006935,77645600
29-03-2016,24.38741493,24.41232792,23.75326898,23.75553427,124760400
30-03-2016,24.81319809,25.00797142,24.59577706,24.60710177,182404400
31-03-2016,24.68410683,24.89020489,24.65919384,24.84943834,103553600
01-04-2016,24.9105835,24.91284878,24.50518329,24.63654237,103496000
