Date,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT
,,,,,
04-01-2016,47.87418747,47.87418747,46.64238824,47.45485191,53778000
05-01-2016,48.09259033,48.38962009,47.64704736,47.98775728,34079700
06-01-2016,47.21896362,47.52473135,46.86078105,47.45484044,39518900
07-01-2016,45.57656479,46.72974147,45.48920448,46.03958373,56564900
08-01-2016,45.71635437,46.5462874,45.55910313,45.7512965,48754000
11-01-2016,45.6901474,46.17063586,44.95630932,45.87360609,36943800
12-01-2016,46.10948944,46.38904652,45.48048767,46.09201671,36095500
13-01-2016,45.11355209,47.23644029,44.81652237,47.00056346,66883600
14-01-2016,46.39777756,46.66859657,45.05240721,45.42806261,52381900
15-01-2016,44.54572296,45.40186704,43.9778707,44.82528008,71820700
19-01-2016,44.17004776,45.14849723,43.73323955,44.97377327,43564500
20-01-2016,44.3710022,44.88643629,42.89458754,43.66337132,63273000
21-01-2016,44.10016251,45.0611427,43.94291126,44.55444351,40191200
22-01-2016,45.68141174,45.71635721,44.7815844,44.91262822,37555800
25-01-2016,45.24460602,45.99591685,45.12230022,45.37564651,34707700
26-01-2016,45.57656479,45.81244161,45.03492357,45.24459297,28900800
27-01-2016,44.74664307,45.60278693,44.57191908,45.43679764,36775200
28-01-2016,45.48048401,45.61152451,44.77285332,45.30576001,62513800
29-01-2016,48.12753677,48.12753677,47.17529458,47.81303428,83611700
01-02-2016,47.79555893,48.12753414,47.61210026,47.94407547,44208500
02-02-2016,46.30167389,47.4024292,45.99590945,47.32380358,56313800
03-02-2016,45.56782532,46.64237295,44.78156933,46.5200672,57559800
04-02-2016,45.42807007,46.13570082,44.87769059,45.51543041,46987100
05-02-2016,43.82062531,45.4280806,43.29645648,45.37566238,62009000
08-02-2016,43.16539383,43.30517234,42.09958057,43.28769961,59290500
09-02-2016,43.05182266,43.89049709,42.51891603,42.82468382,46740500
10-02-2016,43.42748642,44.02154606,43.26150044,43.5847377,38237000
11-02-2016,43.41002655,43.77694741,42.37915825,42.52767487,48878600
12-02-2016,44.11764145,44.27489271,43.46242895,43.89923728,34243300
16-02-2016,44.95352554,44.95352554,44.10883298,44.78634785,37291200
17-02-2016,46.12377548,46.43173862,45.27028551,45.30548188,40789000
18-02-2016,45.92140579,46.59012331,45.84221565,46.04459307,27176000
19-02-2016,45.5958519,46.00060007,45.34068326,45.7278366,33559100
22-02-2016,46.32616043,46.63412026,46.00059906,46.00059906,25008300
23-02-2016,45.03271484,46.07978144,44.85673639,46.05338585,28895300
24-02-2016,45.1911087,45.31429265,44.17043739,44.60158121,33014500
25-02-2016,45.84222031,45.84222031,44.53118744,45.51666228,26939500
26-02-2016,45.13829803,46.35254561,44.96231959,46.28215289,35975900
29-02-2016,44.76875687,45.44627185,44.5751802,45.18230245,31654000
01-03-2016,46.2645607,46.27335811,44.80394188,44.84793901,33024500
02-03-2016,46.59011841,46.59891582,45.89500536,46.11497759,29289900
03-03-2016,46.06218719,46.60772078,45.56065074,46.60772078,24427800
04-03-2016,45.7806282,46.15018337,45.49906396,46.10618958,33034200
07-03-2016,44.90073776,45.57825274,44.50479037,45.36708125,38407800
08-03-2016,45.44627762,45.86862402,44.52239129,44.6983698,33835100
09-03-2016,46.49333954,46.50213695,45.63104864,45.65744423,28251600
10-03-2016,45.7982254,46.58132614,45.01512467,46.57252872,38387800
11-03-2016,46.69570541,46.69570541,46.08858326,46.63411346,32275700
14-03-2016,46.78371429,47.15326956,46.3085766,46.37896601,24083600
15-03-2016,47.15324402,47.15324402,46.40533983,46.41413724,21104800
16-03-2016,47.82196426,48.04193651,46.98607243,47.0300662,31691700
17-03-2016,48.09473038,48.39389276,47.5140038,47.69877967,28223900
18-03-2016,47.06526947,48.36750494,47.0300731,48.3235078,67625500
21-03-2016,47.39081955,47.45241151,46.57252255,46.85408675,23925700
22-03-2016,47.57561111,47.73399145,47.03887814,47.17086287,23124100
23-03-2016,47.48761368,47.72518413,47.2852396,47.61079761,20129000
24-03-2016,47.69878387,47.80437298,47.27643754,47.37322587,19950000
28-03-2016,47.10926437,47.76918121,46.92448846,47.69878847,17025100
29-03-2016,48.13872147,48.27070615,47.03006292,47.21483878,23924300
30-03-2016,48.43789291,48.9570276,48.30591157,48.33230716,23008300
31-03-2016,48.59627914,48.91303979,48.27072109,48.34991125,26360500
01-04-2016,48.89543533,48.9306317,48.01554626,48.43789261,24399200
04-04-2016,48.77225876,48.97463287,48.39390613,48.77225876,18928800
05-04-2016,48.00675583,48.65787196,47.9187649,48.56108361,19272300
06-04-2016,48.49948502,48.56987775,47.69878609,47.83077079,21188700
07-04-2016,47.91874313,48.31469376,47.71636911,48.27949741,19225100
08-04-2016,47.883564,48.64026917,47.79557643,48.10353627,22167200
11-04-2016,47.78676605,48.52587284,47.77796528,47.94514632,21414200
12-04-2016,48.08593369,48.20031684,47.30282968,47.83956249,24944300
13-04-2016,48.70185089,48.78104103,48.29710279,48.49947684,20818000
14-04-2016,48.71065521,48.90423187,48.4554866,48.58747129,20877100
15-04-2016,48.96583557,49.2034027,48.4906946,48.65787234,28793800
18-04-2016,49.67853928,49.7929258,48.57867787,48.82504911,23786000
19-04-2016,49.61694336,49.95130214,48.99222293,49.82811821,29596800
20-04-2016,48.9130249,49.71372368,48.82503735,49.52894781,36195700
21-04-2016,49.08021164,49.4761624,48.76345103,49.09780982,38909100
22-04-2016,45.56065369,46.13258291,44.67196723,45.6750402,126834100
25-04-2016,45.85103226,45.86863045,45.42868579,45.56066718,33226900
26-04-2016,45.26148987,46.06218874,44.95353005,45.98299859,33532600
27-04-2016,44.82154465,45.3142837,44.47838847,45.29668551,43369300
28-04-2016,43.90647125,44.6719739,43.6073088,44.53998918,43134800
29-04-2016,43.88006973,44.21442854,43.42252698,43.42252698,48411700
02-05-2016,44.53117752,44.65436143,43.80086813,43.99444476,33114500
03-05-2016,43.80087662,44.35520767,43.64249632,44.2936157,26460200
04-05-2016,43.88006973,44.04725081,43.51931533,43.85367413,24257600
05-05-2016,43.94165039,44.25841093,43.75687453,43.88005844,25390700
06-05-2016,44.33760834,44.33760834,43.69528974,43.92405941,24787300
09-05-2016,44.05606079,44.51360367,43.9944688,44.42561607,17951600
10-05-2016,44.89194107,44.96233045,44.16163153,44.28481882,22891000
11-05-2016,44.91833496,45.56065356,44.87434118,44.9887277,24039100
12-05-2016,45.3230896,45.58705904,44.80395486,45.05032611,24102800
13-05-2016,44.94474792,45.6662569,44.90955155,45.26150526,22592300
16-05-2016,45.6046524,45.71903557,44.65437059,44.69836437,20032000
17-05-2016,44.75403976,45.83501353,44.62113531,45.82615459,27803500
18-05-2016,45.01986313,45.31225567,44.56797913,44.72746721,24907500
19-05-2016,44.5857048,44.85151715,44.14268309,44.71861267,23842400
20-05-2016,44.85150909,45.38313708,44.65658187,44.72746358,23905800
23-05-2016,44.3287468,44.90467631,44.28444531,44.83379122,26118700
24-05-2016,45.71097183,45.81729608,44.65658157,44.92239387,34757900
25-05-2016,46.1805687,46.5084071,45.88817621,46.00335939,24040200
26-05-2016,45.97678757,46.0565316,45.50718569,46.01223011,24335200
27-05-2016,46.35778427,46.35778427,45.87046114,46.00336561,17721400
31-05-2016,46.96030426,46.96030426,46.14514588,46.3046306,37653100
01-06-2016,46.82738113,46.91598748,46.46410356,46.46410356,25324800
02-06-2016,46.4995575,46.72993067,45.93249026,46.6413243,22840800
03-06-2016,45.88817596,46.44638072,45.7198256,46.41094156,23368300
06-06-2016,46.18945313,46.38438042,45.97680118,46.06540756,18243300
07-06-2016,46.16285706,46.72106531,46.16285706,46.28690596,20866800
08-06-2016,46.10969925,46.46411458,45.95907011,46.09197798,21149400
09-06-2016,45.7375679,46.0742654,45.62238467,46.0742654,20305700
10-06-2016,45.61351013,46.11855456,45.22365228,45.23251123,25833200
13-06-2016,44.42620468,44.94011135,43.4692798,43.93002266,83217800
14-06-2016,44.15154266,44.3907714,43.9211695,44.21356543,42577100
15-06-2016,44.02749252,44.40849143,44.02749252,44.10723656,33757600
16-06-2016,44.64772797,44.71861306,43.8680088,43.87687113,31188600
17-06-2016,44.41735458,44.68316692,44.14267993,44.66544564,45710500
20-06-2016,44.36419678,45.03759171,44.32875423,44.86924129,35607900
21-06-2016,45.35655975,45.56921165,44.44393615,44.47937869,34097800
22-06-2016,45.17934799,45.59578603,45.14390545,45.25909202,28816800
23-06-2016,45.99450684,46.12741468,45.32111543,45.43629862,29028800
24-06-2016,44.15154266,45.13504796,43.876868,44.13382139,133503000
27-06-2016,42.91108322,43.54903557,42.56552683,43.50473069,50216300
28-06-2016,43.80598831,43.83257191,43.12373443,43.3452453,38140700
29-06-2016,44.78062057,44.94010861,44.12494717,44.22241246,31304000
30-06-2016,45.3388443,45.4540309,44.74519678,44.94012743,28527800
01-07-2016,45.32998276,45.82616831,45.25023871,45.30340254,21400400
05-07-2016,45.3388443,45.43630963,44.9578487,45.03759275,24806400
06-07-2016,45.52490997,45.66667678,44.64772554,44.99328192,28167500
07-07-2016,45.52490997,45.72869955,45.25023531,45.56034914,19585200
08-07-2016,46.34006119,46.393225,45.67552875,45.83501681,28391000
11-07-2016,46.59702301,46.80967492,46.49069875,46.51727897,22269200
12-07-2016,47.14637375,47.31472418,46.7742371,46.9071416,27317600
13-07-2016,47.41217041,47.72228756,47.11977791,47.45647527,25356800
14-07-2016,47.61597061,47.83748145,47.47420381,47.70457359,24545500
15-07-2016,47.58052063,47.84633291,47.14635797,47.80203143,32024400
18-07-2016,47.81090546,48.14760293,47.44762776,47.58053564,31433900
19-07-2016,47.04004669,47.7577431,46.89827988,47.58939268,53336500
20-07-2016,49.53866959,50.36268994,49.20197226,49.75132142,89893300
