Date,Close,High,Low,Open,Volume
,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,,,,,
04-01-2016,37.68724823,37.82421385,37.09670892,37.82421385,67382000
05-01-2016,37.79096603,38.17158934,37.499172,37.9185043,45216000
06-01-2016,37.68178558,37.99938558,37.11953599,37.23714711,48206000
07-01-2016,36.77215958,37.48229389,36.488305,37.04460288,63132000
08-01-2016,36.27145004,37.22474615,36.17269364,37.10961491,47506000
11-01-2016,36.37862778,36.47837611,35.70819451,36.32304797,50896000
12-01-2016,36.98753357,37.13641024,36.54537494,36.75975477,46816000
13-01-2016,35.70869446,37.36766088,35.57024091,37.18603076,51728000
14-01-2016,36.2952652,36.71707736,34.98566016,35.95037125,55558000
15-01-2016,35.2580986,35.93647134,34.81246441,35.23328457,76676000
19-01-2016,35.68437958,35.99553188,35.22634209,35.7374795,48724000
20-01-2016,35.65857697,36.07492959,34.13111649,35.03032063,82440000
21-01-2016,36.06103134,36.60690608,35.28886576,35.73846779,51938000
22-01-2016,36.99348831,37.14732854,36.74735076,36.82178531,47146000
25-01-2016,36.40592957,37.34086686,36.35034975,36.91309916,45340000
26-01-2016,36.41436386,36.69573856,36.07592142,36.48483437,30940000
27-01-2016,35.60994339,36.51857486,35.40499094,36.51857486,42428000
28-01-2016,37.13441467,37.27634003,36.25604943,36.63270478,62104000
29-01-2016,37.78203201,37.96862192,36.93096046,37.16717845,75808000
01-02-2016,38.24950409,38.58794656,37.78352335,38.27381837,111522000
02-02-2016,38.75269699,40.21365849,38.73731032,39.72485148,135846000
03-02-2016,37.1880188,39.27474911,36.53693616,39.01918043,131114000
04-02-2016,36.22777176,36.98257056,35.85905954,36.95031307,104922000
05-02-2016,34.92412186,36.06351172,34.74447943,36.00297214,109556000
08-02-2016,34.94397354,34.9618401,33.84477677,34.12615146,89410000
09-02-2016,34.7881546,35.77767983,34.16684946,34.3876808,84300000
10-02-2016,35.07746124,35.88982373,35.00501062,35.3226106,60314000
11-02-2016,35.05314636,35.34891195,34.3003353,34.55590397,65004000
12-02-2016,35.07945251,35.53153447,34.8159406,35.34345663,46538000
16-02-2016,35.61291885,35.87295513,35.24271491,35.66303912,43444000
17-02-2016,36.32404709,36.41287635,35.56180856,36.07740977,49154000
18-02-2016,35.6064682,36.52403486,35.50920353,36.42280237,47276000
19-02-2016,35.8347435,35.93002426,35.38861328,35.52657085,34918000
22-02-2016,36.179142,36.4669682,35.90124293,36.20196834,37516000
23-02-2016,35.59554672,36.27094362,35.51515666,36.03274552,41332000
24-02-2016,35.77469635,35.790579,34.83777896,35.26405492,37092000
25-02-2016,36.182621,36.20197171,35.39407664,35.87544028,36146000
26-02-2016,35.97120667,36.53196826,35.82630164,36.40492979,42474000
29-02-2016,35.59207153,36.2560533,35.57321302,35.77965337,45068000
01-03-2016,36.83022308,36.83816252,35.6625435,35.79454555,60112000
02-03-2016,36.69673157,36.87736596,36.38756696,36.86496273,36292000
03-03-2016,36.30519104,36.77216373,36.20792636,36.69673344,40534000
04-03-2016,36.23720551,36.47441167,36.00892694,36.46448832,48516000
07-03-2016,35.37273788,36.08783585,34.99261055,35.9856076,61690000
08-03-2016,35.40896225,35.84169353,34.93603783,35.15388951,52530000
09-03-2016,35.99850845,36.03969734,35.3657883,35.4903469,39544000
10-03-2016,36.33397675,36.55083647,35.89330603,36.11661726,44616000
11-03-2016,36.96421051,36.96569844,36.55877319,36.72005687,35380000
14-03-2016,37.23069382,37.4301867,36.90415867,36.96916962,32824000
15-03-2016,37.2470665,37.36815323,36.86346363,37.02127165,29832000
16-03-2016,37.58402634,37.66541214,37.04509904,37.17164155,29306000
17-03-2016,37.63960648,37.98003282,37.58402666,37.59841759,44564000
18-03-2016,37.48725891,37.82123377,37.30910441,37.79592754,56222000
21-03-2016,37.82222748,37.88078316,37.28180848,37.41281857,28774000
22-03-2016,37.71751785,37.96316321,37.60983386,37.63762376,22096000
23-03-2016,37.59394836,37.98251484,37.5180221,37.88127856,24678000
24-03-2016,37.45897293,37.59395085,37.24360116,37.27833854,31116000
28-03-2016,37.38155746,37.63067466,37.32002213,37.52497079,21676000
29-03-2016,38.00732422,38.07134322,37.13392615,37.40140209,40062000
30-03-2016,38.12890244,38.57404061,38.09118919,38.12245094,40396000
31-03-2016,37.85895157,38.1656325,37.62819311,38.12891121,32554000
01-04-2016,38.19491196,38.21327071,37.47683443,37.57410288,31674000
04-04-2016,37.96912003,38.33237652,37.80386851,38.1869717,26924000
05-04-2016,37.6440773,37.85746518,37.49668856,37.62224291,24478000
